	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	368	654	-1.000	-1.000	116
2	1	2	368	654	0.000	0.000	122
3	1	3	369	654	0.129	0.065	139
4	1	4	370	652	0.288	0.144	118
5	1	5	370	652	0.000	0.000	146
6	1	6	372	650	0.365	0.182	144
7	1	7	374	648	0.365	0.182	131
8	1	8	374	646	0.258	0.129	51
9	1	9	375	643	0.408	0.204	77
10	1	10	375	642	0.129	0.065	111
11	1	11	377	640	0.365	0.182	164
12	1	12	379	640	0.258	0.129	149
13	1	13	379	638	0.258	0.129	95
14	1	14	379	635	0.387	0.194	87
15	1	15	380	632	0.408	0.204	124
16	1	16	382	630	0.365	0.182	137
17	1	17	383	629	0.182	0.091	77
18	1	18	383	628	0.129	0.065	111
19	1	19	385	626	0.365	0.182	105
20	1	20	387	624	0.365	0.182	138
21	1	21	388	622	0.288	0.144	152
22	1	22	389	620	0.288	0.144	131
23	1	23	390	617	0.408	0.204	181
24	1	24	392	614	0.465	0.233	121
25	1	25	394	614	0.258	0.129	73
26	1	26	396	613	0.288	0.144	192
27	1	27	398	610	0.465	0.233	162
28	1	28	398	610	0.000	0.000	138
29	1	29	400	610	0.258	0.129	39
30	1	30	402	610	0.258	0.129	80
31	1	31	402	607	0.387	0.194	146
32	1	32	404	607	0.258	0.129	77
33	1	33	406	608	0.288	0.144	135
34	1	34	406	612	0.516	0.258	152
35	1	35	406	610	0.258	0.129	63
36	1	36	407	610	0.129	0.065	117
37	1	37	407	612	0.258	0.129	134
38	1	38	407	612	0.000	0.000	93
39	1	39	408	612	0.129	0.065	94
40	1	40	408	613	0.129	0.065	133
41	1	41	409	613	0.129	0.065	73
42	1	42	409	614	0.129	0.065	101
43	1	43	409	614	0.000	0.000	88
44	1	44	411	614	0.258	0.129	49
45	1	45	415	614	0.516	0.258	77
46	1	46	417	614	0.258	0.129	69
47	1	47	416	612	0.288	0.144	83
48	1	48	416	610	0.258	0.129	144
49	1	49	416	610	0.000	0.000	115
50	1	50	418	610	0.258	0.129	89
51	1	51	420	609	0.288	0.144	123
52	1	52	421	608	0.182	0.091	150
53	1	53	422	607	0.182	0.091	59
54	1	54	424	604	0.465	0.233	97
55	1	55	426	602	0.365	0.182	71
56	1	56	427	600	0.288	0.144	117
57	1	57	430	598	0.465	0.233	133
