	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	711	519	-1.000	-1.000	191
2	1	2	713	519	0.258	0.129	216
3	1	3	712	519	0.129	0.065	168
4	1	4	712	518	0.129	0.065	236
5	1	5	712	518	0.000	0.000	213
6	1	6	712	518	0.000	0.000	217
7	1	7	710	516	0.365	0.182	223
8	1	8	708	514	0.365	0.182	234
9	1	9	708	514	0.000	0.000	245
10	1	10	708	514	0.000	0.000	236
11	1	11	708	514	0.000	0.000	218
12	1	12	708	514	0.000	0.000	210
13	1	13	709	514	0.129	0.065	194
14	1	14	708	514	0.129	0.065	150
15	1	15	708	514	0.000	0.000	145
16	1	16	708	514	0.000	0.000	163
17	1	17	707	514	0.129	0.065	218
18	1	18	706	514	0.129	0.065	213
19	1	19	706	514	0.000	0.000	194
20	1	20	704	513	0.288	0.144	200
21	1	21	704	513	0.000	0.000	232
22	1	22	704	513	0.000	0.000	222
23	1	23	704	514	0.129	0.065	191
24	1	24	703	514	0.129	0.065	149
25	1	25	703	514	0.000	0.000	161
26	1	26	703	514	0.000	0.000	190
27	1	27	704	514	0.129	0.065	214
28	1	28	704	512	0.258	0.129	194
29	1	29	704	512	0.000	0.000	241
30	1	30	704	512	0.000	0.000	221
31	1	31	704	511	0.129	0.065	209
32	1	32	703	510	0.182	0.091	217
33	1	33	703	510	0.000	0.000	209
34	1	34	701	510	0.258	0.129	212
35	1	35	701	510	0.000	0.000	242
36	1	36	701	510	0.000	0.000	225
37	1	37	701	510	0.000	0.000	247
38	1	38	701	510	0.000	0.000	237
39	1	39	701	509	0.129	0.065	243
40	1	40	701	509	0.000	0.000	232
41	1	41	701	509	0.000	0.000	233
42	1	42	701	509	0.000	0.000	205
43	1	43	701	509	0.000	0.000	229
44	1	44	701	508	0.129	0.065	224
45	1	45	701	508	0.000	0.000	213
46	1	46	700	507	0.182	0.091	206
47	1	47	700	507	0.000	0.000	248
48	1	48	700	507	0.000	0.000	211
49	1	49	701	507	0.129	0.065	145
50	1	50	701	507	0.000	0.000	237
51	1	51	701	507	0.000	0.000	206
52	1	52	697	508	0.532	0.266	201
53	1	53	697	508	0.000	0.000	172
54	1	54	696	508	0.129	0.065	200
55	1	55	695	508	0.129	0.065	184
56	1	56	694	508	0.129	0.065	216
57	1	57	694	507	0.129	0.065	208
58	1	58	696	504	0.465	0.233	164
59	1	59	696	504	0.000	0.000	185
60	1	60	696	504	0.000	0.000	215
61	1	61	696	503	0.129	0.065	218
62	1	62	696	503	0.000	0.000	232
63	1	63	694	503	0.258	0.129	202
64	1	64	693	503	0.129	0.065	230
65	1	65	693	503	0.000	0.000	199
66	1	66	693	503	0.000	0.000	201
67	1	67	693	503	0.000	0.000	225
68	1	68	692	501	0.288	0.144	198
69	1	69	692	501	0.000	0.000	227
70	1	70	692	501	0.000	0.000	196
71	1	71	692	500	0.129	0.065	215
72	1	72	691	499	0.182	0.091	228
73	1	73	690	498	0.182	0.091	229
74	1	74	690	498	0.000	0.000	251
75	1	75	689	496	0.288	0.144	205
76	1	76	689	496	0.000	0.000	230
77	1	77	689	495	0.129	0.065	233
78	1	78	689	494	0.129	0.065	248
79	1	79	688	494	0.129	0.065	226
80	1	80	688	493	0.129	0.065	248
81	1	81	688	492	0.129	0.065	226
82	1	82	687	491	0.182	0.091	218
83	1	83	686	490	0.182	0.091	198
84	1	84	686	490	0.000	0.000	157
85	1	85	684	489	0.288	0.144	210
86	1	86	683	488	0.182	0.091	180
87	1	87	683	487	0.129	0.065	238
88	1	88	683	486	0.129	0.065	204
89	1	89	683	484	0.258	0.129	186
90	1	90	683	484	0.000	0.000	229
91	1	91	683	482	0.258	0.129	223
92	1	92	683	480	0.258	0.129	223
93	1	93	682	479	0.182	0.091	221
94	1	94	681	478	0.182	0.091	135
95	1	95	680	477	0.182	0.091	219
96	1	96	680	476	0.129	0.065	148
97	1	97	680	476	0.000	0.000	164
98	1	98	680	476	0.000	0.000	214
99	1	99	678	474	0.365	0.182	205
100	1	100	676	473	0.288	0.144	231
101	1	101	675	470	0.408	0.204	227
102	1	102	675	470	0.000	0.000	224
103	1	103	675	470	0.000	0.000	215
104	1	104	674	468	0.288	0.144	215
105	1	105	674	467	0.129	0.065	238
106	1	106	673	465	0.288	0.144	219
107	1	107	672	463	0.288	0.144	225
108	1	108	672	462	0.129	0.065	232
109	1	109	672	460	0.258	0.129	227
110	1	110	671	459	0.182	0.091	215
111	1	111	669	455	0.577	0.288	197
112	1	112	668	454	0.182	0.091	245
113	1	113	668	454	0.000	0.000	241
114	1	114	668	453	0.129	0.065	253
115	1	115	664	447	0.930	0.465	225
116	1	116	664	444	0.387	0.194	213
117	1	117	664	443	0.129	0.065	222
118	1	118	664	439	0.516	0.258	218
119	1	119	662	436	0.465	0.233	221
120	1	120	661	435	0.182	0.091	212
121	1	121	661	434	0.129	0.065	247
122	1	122	661	432	0.258	0.129	234
123	1	123	662	432	0.129	0.065	235
124	1	124	662	430	0.258	0.129	213
125	1	125	662	429	0.129	0.065	230
126	1	126	661	426	0.408	0.204	189
127	1	127	661	425	0.129	0.065	210
128	1	128	661	425	0.000	0.000	225
129	1	129	659	420	0.695	0.347	226
130	1	130	660	419	0.182	0.091	200
131	1	131	659	417	0.288	0.144	207
132	1	132	659	417	0.000	0.000	204
133	1	133	659	417	0.000	0.000	214
134	1	134	659	416	0.129	0.065	242
135	1	135	659	414	0.258	0.129	225
136	1	136	660	414	0.129	0.065	240
137	1	137	660	411	0.387	0.194	197
138	1	138	660	411	0.000	0.000	189
139	1	139	660	411	0.000	0.000	184
140	1	140	660	410	0.129	0.065	224
