	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	631	1082	-1.000	-1.000	165
2	1	2	630	1080	0.288	0.144	105
3	1	3	631	1080	0.129	0.065	171
4	1	4	631	1080	0.000	0.000	93
5	1	5	631	1080	0.000	0.000	70
6	1	6	631	1080	0.000	0.000	150
7	1	7	631	1079	0.129	0.065	105
8	1	8	632	1079	0.129	0.065	94
9	1	9	632	1078	0.129	0.065	85
10	1	10	632	1078	0.000	0.000	35
11	1	11	632	1077	0.129	0.065	113
12	1	12	632	1076	0.129	0.065	129
13	1	13	632	1075	0.129	0.065	78
14	1	14	633	1075	0.129	0.065	86
15	1	15	633	1075	0.000	0.000	55
16	1	16	633	1074	0.129	0.065	90
17	1	17	633	1074	0.000	0.000	92
18	1	18	633	1074	0.000	0.000	97
19	1	19	633	1074	0.000	0.000	91
20	1	20	633	1074	0.000	0.000	83
21	1	21	633	1074	0.000	0.000	75
22	1	22	632	1075	0.182	0.091	58
23	1	23	632	1074	0.129	0.065	58
24	1	24	631	1073	0.182	0.091	153
25	1	25	631	1073	0.000	0.000	97
26	1	26	631	1073	0.000	0.000	83
27	1	27	632	1073	0.129	0.065	108
28	1	28	632	1073	0.000	0.000	50
29	1	29	632	1073	0.000	0.000	60
30	1	30	632	1073	0.000	0.000	120
31	1	31	631	1073	0.129	0.065	104
32	1	32	632	1072	0.182	0.091	122
33	1	33	632	1072	0.000	0.000	117
34	1	34	632	1072	0.000	0.000	89
35	1	35	632	1073	0.129	0.065	41
36	1	36	632	1072	0.129	0.065	107
37	1	37	633	1071	0.182	0.091	83
38	1	38	633	1071	0.000	0.000	75
39	1	39	634	1071	0.129	0.065	187
40	1	40	633	1072	0.182	0.091	35
41	1	41	633	1072	0.000	0.000	60
42	1	42	633	1071	0.129	0.065	92
43	1	43	633	1071	0.000	0.000	87
44	1	44	634	1069	0.288	0.144	112
45	1	45	634	1069	0.000	0.000	141
46	1	46	634	1069	0.000	0.000	125
