	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	473	721	-1.000	-1.000	44
2	1	2	473	722	0.129	0.065	84
3	1	3	473	720	0.258	0.129	81
4	1	4	473	718	0.258	0.129	63
5	1	5	470	718	0.387	0.194	66
6	1	6	470	719	0.129	0.065	36
7	1	7	470	719	0.000	0.000	13
8	1	8	468	715	0.577	0.288	64
9	1	9	467	716	0.182	0.091	83
10	1	10	465	715	0.288	0.144	79
11	1	11	466	714	0.182	0.091	90
12	1	12	466	714	0.000	0.000	39
13	1	13	465	716	0.288	0.144	36
14	1	14	465	715	0.129	0.065	28
15	1	15	465	713	0.258	0.129	39
16	1	16	464	712	0.182	0.091	48
17	1	17	462	710	0.365	0.182	64
18	1	18	462	710	0.000	0.000	49
19	1	19	459	707	0.547	0.274	66
20	1	20	459	707	0.000	0.000	23
21	1	21	458	709	0.288	0.144	46
22	1	22	458	709	0.000	0.000	89
23	1	23	458	708	0.129	0.065	53
24	1	24	457	705	0.408	0.204	52
25	1	25	456	705	0.129	0.065	61
26	1	26	454	705	0.258	0.129	10
27	1	27	454	702	0.387	0.194	22
28	1	28	455	702	0.129	0.065	40
29	1	29	454	700	0.288	0.144	44
30	1	30	453	699	0.182	0.091	26
31	1	31	453	697	0.258	0.129	37
32	1	32	453	697	0.000	0.000	65
33	1	33	452	697	0.129	0.065	52
34	1	34	451	697	0.129	0.065	65
35	1	35	450	696	0.182	0.091	25
36	1	36	450	694	0.258	0.129	34
37	1	37	450	695	0.129	0.065	74
38	1	38	449	694	0.182	0.091	84
39	1	39	449	692	0.258	0.129	63
40	1	40	448	691	0.182	0.091	16
41	1	41	448	690	0.129	0.065	46
42	1	42	447	690	0.129	0.065	44
43	1	43	446	688	0.288	0.144	41
44	1	44	444	686	0.365	0.182	108
45	1	45	443	684	0.288	0.144	74
46	1	46	443	683	0.129	0.065	25
47	1	47	443	684	0.129	0.065	83
48	1	48	443	683	0.129	0.065	13
49	1	49	441	681	0.365	0.182	47
50	1	50	441	681	0.000	0.000	49
51	1	51	440	680	0.182	0.091	30
52	1	52	443	676	0.645	0.323	41
53	1	53	442	675	0.182	0.091	69
54	1	54	443	672	0.408	0.204	40
55	1	55	443	672	0.000	0.000	48
56	1	56	444	671	0.182	0.091	97
57	1	57	444	670	0.129	0.065	52
58	1	58	443	669	0.182	0.091	56
59	1	59	442	668	0.182	0.091	16
60	1	60	444	667	0.288	0.144	30
61	1	61	444	667	0.000	0.000	74
62	1	62	444	665	0.258	0.129	62
63	1	63	445	663	0.288	0.144	35
64	1	64	445	662	0.129	0.065	53
65	1	65	445	661	0.129	0.065	33
66	1	66	445	659	0.258	0.129	31
67	1	67	445	657	0.258	0.129	77
68	1	68	446	657	0.129	0.065	74
69	1	69	447	656	0.182	0.091	78
70	1	70	448	654	0.288	0.144	33
71	1	71	448	653	0.129	0.065	8
72	1	72	445	648	0.752	0.376	72
73	1	73	445	648	0.000	0.000	65
74	1	74	444	649	0.182	0.091	16
75	1	75	443	646	0.408	0.204	57
76	1	76	442	645	0.182	0.091	32
77	1	77	442	643	0.258	0.129	50
78	1	78	442	641	0.258	0.129	29
79	1	79	441	639	0.288	0.144	14
80	1	80	440	637	0.288	0.144	4
81	1	81	437	634	0.547	0.274	45
82	1	82	433	633	0.532	0.266	51
83	1	83	432	632	0.182	0.091	12
84	1	84	432	632	0.000	0.000	23
85	1	85	432	629	0.387	0.194	21
86	1	86	431	627	0.288	0.144	27
87	1	87	430	626	0.182	0.091	34
88	1	88	429	624	0.288	0.144	131
89	1	89	429	622	0.258	0.129	60
90	1	90	428	620	0.288	0.144	59
91	1	91	429	620	0.129	0.065	61
92	1	92	429	620	0.000	0.000	61
93	1	93	429	618	0.258	0.129	22
94	1	94	426	616	0.465	0.233	19
95	1	95	426	616	0.000	0.000	8
96	1	96	427	615	0.182	0.091	14
97	1	97	427	617	0.258	0.129	45
98	1	98	427	617	0.000	0.000	36
99	1	99	427	614	0.387	0.194	79
100	1	100	427	613	0.129	0.065	65
101	1	101	426	612	0.182	0.091	47
102	1	102	426	612	0.000	0.000	32
103	1	103	425	609	0.408	0.204	91
104	1	104	425	607	0.258	0.129	61
105	1	105	426	606	0.182	0.091	24
106	1	106	426	604	0.258	0.129	26
107	1	107	426	604	0.000	0.000	35
108	1	108	426	603	0.129	0.065	44
109	1	109	427	600	0.408	0.204	26
110	1	110	428	600	0.129	0.065	41
111	1	111	427	598	0.288	0.144	83
112	1	112	426	597	0.182	0.091	69
113	1	113	426	597	0.000	0.000	54
114	1	114	426	596	0.129	0.065	9
115	1	115	427	594	0.288	0.144	51
