	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	414	1084	-1.000	-1.000	152
2	1	2	414	1082	0.258	0.129	255
3	1	3	414	1082	0.000	0.000	161
4	1	4	414	1081	0.129	0.065	177
5	1	5	415	1080	0.182	0.091	158
6	1	6	416	1079	0.182	0.091	255
7	1	7	416	1080	0.129	0.065	255
8	1	8	416	1080	0.000	0.000	255
9	1	9	416	1080	0.000	0.000	255
10	1	10	416	1080	0.000	0.000	220
11	1	11	416	1077	0.387	0.194	132
12	1	12	416	1074	0.387	0.194	46
13	1	13	417	1074	0.129	0.065	192
14	1	14	420	1076	0.465	0.233	255
15	1	15	420	1074	0.258	0.129	149
16	1	16	421	1076	0.288	0.144	215
17	1	17	421	1074	0.258	0.129	255
18	1	18	422	1072	0.288	0.144	255
19	1	19	422	1072	0.000	0.000	255
20	1	20	422	1072	0.000	0.000	255
21	1	21	422	1070	0.258	0.129	233
22	1	22	422	1069	0.129	0.065	208
23	1	23	422	1069	0.000	0.000	174
24	1	24	422	1067	0.258	0.129	79
25	1	25	424	1067	0.258	0.129	255
26	1	26	425	1066	0.182	0.091	255
27	1	27	424	1066	0.129	0.065	255
28	1	28	424	1068	0.258	0.129	255
29	1	29	424	1066	0.258	0.129	195
30	1	30	425	1066	0.129	0.065	255
31	1	31	425	1064	0.258	0.129	247
32	1	32	426	1063	0.182	0.091	255
33	1	33	426	1062	0.129	0.065	118
34	1	34	427	1060	0.288	0.144	233
35	1	35	428	1059	0.182	0.091	152
36	1	36	429	1058	0.182	0.091	214
37	1	37	430	1057	0.182	0.091	246
38	1	38	430	1057	0.000	0.000	228
39	1	39	432	1056	0.288	0.144	255
40	1	40	432	1056	0.000	0.000	255
41	1	41	433	1056	0.129	0.065	255
42	1	42	434	1055	0.182	0.091	201
43	1	43	434	1054	0.129	0.065	255
44	1	44	435	1052	0.288	0.144	255
45	1	45	436	1050	0.288	0.144	255
46	1	46	438	1050	0.258	0.129	148
47	1	47	438	1049	0.129	0.065	212
48	1	48	438	1048	0.129	0.065	108
49	1	49	440	1044	0.577	0.288	216
50	1	50	440	1042	0.258	0.129	174
51	1	51	440	1041	0.129	0.065	231
