	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	438	728	-1.000	-1.000	158
2	1	2	440	728	0.258	0.129	148
3	1	3	439	727	0.182	0.091	32
4	1	4	437	724	0.465	0.233	143
5	1	5	437	724	0.000	0.000	133
6	1	6	438	724	0.129	0.065	55
7	1	7	439	723	0.182	0.091	200
8	1	8	441	722	0.288	0.144	168
9	1	9	440	722	0.129	0.065	105
10	1	10	438	721	0.288	0.144	108
11	1	11	438	721	0.000	0.000	113
12	1	12	440	718	0.465	0.233	166
13	1	13	440	718	0.000	0.000	100
14	1	14	440	716	0.258	0.129	84
15	1	15	440	712	0.516	0.258	144
16	1	16	438	709	0.465	0.233	23
17	1	17	435	706	0.547	0.274	128
18	1	18	434	707	0.182	0.091	89
19	1	19	435	706	0.182	0.091	106
20	1	20	434	706	0.129	0.065	119
21	1	21	434	706	0.000	0.000	78
22	1	22	434	708	0.258	0.129	67
23	1	23	433	708	0.129	0.065	82
24	1	24	433	708	0.000	0.000	29
25	1	25	433	707	0.129	0.065	83
26	1	26	434	707	0.129	0.065	20
27	1	27	434	702	0.645	0.323	75
28	1	28	434	700	0.258	0.129	39
29	1	29	436	699	0.288	0.144	51
30	1	30	436	700	0.129	0.065	60
31	1	31	436	700	0.000	0.000	101
32	1	32	435	698	0.288	0.144	53
33	1	33	435	698	0.000	0.000	58
34	1	34	436	694	0.532	0.266	82
35	1	35	435	691	0.408	0.204	28
36	1	36	435	691	0.000	0.000	65
37	1	37	436	691	0.129	0.065	35
38	1	38	436	688	0.387	0.194	52
39	1	39	436	686	0.258	0.129	80
40	1	40	436	684	0.258	0.129	20
41	1	41	437	684	0.129	0.065	97
42	1	42	437	684	0.000	0.000	15
43	1	43	436	685	0.182	0.091	17
44	1	44	436	688	0.387	0.194	12
45	1	45	434	692	0.577	0.288	31
46	1	46	433	694	0.288	0.144	82
47	1	47	434	697	0.408	0.204	26
48	1	48	433	700	0.408	0.204	80
49	1	49	430	702	0.465	0.233	78
50	1	50	429	700	0.288	0.144	28
51	1	51	430	702	0.288	0.144	50
52	1	52	430	703	0.129	0.065	78
53	1	53	430	700	0.387	0.194	30
54	1	54	430	700	0.000	0.000	39
55	1	55	429	700	0.129	0.065	55
56	1	56	434	695	0.912	0.456	94
57	1	57	436	696	0.288	0.144	124
58	1	58	436	698	0.258	0.129	159
59	1	59	436	701	0.387	0.194	90
60	1	60	435	701	0.129	0.065	39
61	1	61	434	699	0.288	0.144	32
62	1	62	432	694	0.695	0.347	71
63	1	63	433	692	0.288	0.144	72
64	1	64	433	692	0.000	0.000	72
65	1	65	432	692	0.129	0.065	83
66	1	66	429	694	0.465	0.233	43
67	1	67	427	697	0.465	0.233	66
68	1	68	426	699	0.288	0.144	12
69	1	69	425	701	0.288	0.144	43
70	1	70	424	701	0.129	0.065	64
71	1	71	423	698	0.408	0.204	36
72	1	72	423	696	0.258	0.129	53
73	1	73	424	694	0.288	0.144	53
74	1	74	425	693	0.182	0.091	18
75	1	75	425	691	0.258	0.129	47
76	1	76	425	689	0.258	0.129	30
77	1	77	425	689	0.000	0.000	40
78	1	78	426	688	0.182	0.091	17
79	1	79	426	686	0.258	0.129	8
80	1	80	430	684	0.577	0.288	84
81	1	81	433	683	0.408	0.204	44
82	1	82	434	682	0.182	0.091	19
83	1	83	430	684	0.577	0.288	71
84	1	84	428	684	0.258	0.129	69
85	1	85	427	681	0.408	0.204	57
86	1	86	427	679	0.258	0.129	133
87	1	87	427	678	0.129	0.065	31
88	1	88	426	677	0.182	0.091	158
89	1	89	428	676	0.288	0.144	87
90	1	90	428	677	0.129	0.065	24
91	1	91	428	676	0.129	0.065	70
92	1	92	428	676	0.000	0.000	96
93	1	93	426	678	0.365	0.182	161
94	1	94	428	676	0.365	0.182	148
95	1	95	428	672	0.516	0.258	103
96	1	96	430	668	0.577	0.288	225
97	1	97	430	670	0.258	0.129	103
98	1	98	428	670	0.258	0.129	106
99	1	99	428	668	0.258	0.129	117
100	1	100	428	668	0.000	0.000	201
101	1	101	428	668	0.000	0.000	158
102	1	102	428	671	0.387	0.194	76
103	1	103	428	671	0.000	0.000	18
104	1	104	425	673	0.465	0.233	22
105	1	105	426	670	0.408	0.204	119
106	1	106	428	668	0.365	0.182	118
107	1	107	428	663	0.645	0.323	147
108	1	108	429	661	0.288	0.144	83
109	1	109	426	660	0.408	0.204	145
110	1	110	424	661	0.288	0.144	171
111	1	111	422	661	0.258	0.129	149
112	1	112	422	662	0.129	0.065	63
113	1	113	422	658	0.516	0.258	123
114	1	114	423	657	0.182	0.091	101
115	1	115	421	658	0.288	0.144	184
116	1	116	420	656	0.288	0.144	73
117	1	117	420	652	0.516	0.258	106
118	1	118	418	652	0.258	0.129	159
119	1	119	416	652	0.258	0.129	71
120	1	120	416	652	0.000	0.000	54
121	1	121	415	649	0.408	0.204	116
122	1	122	412	650	0.408	0.204	48
123	1	123	412	650	0.000	0.000	111
124	1	124	412	650	0.000	0.000	120
125	1	125	412	652	0.258	0.129	55
126	1	126	414	648	0.577	0.288	158
127	1	127	414	647	0.129	0.065	101
128	1	128	414	648	0.129	0.065	56
129	1	129	410	646	0.577	0.288	123
130	1	130	409	648	0.288	0.144	153
131	1	131	409	650	0.258	0.129	132
132	1	132	408	649	0.182	0.091	84
133	1	133	408	648	0.129	0.065	83
134	1	134	408	647	0.129	0.065	67
135	1	135	409	642	0.658	0.329	79
136	1	136	409	640	0.258	0.129	77
137	1	137	410	638	0.288	0.144	111
138	1	138	410	635	0.387	0.194	0
139	1	139	410	633	0.258	0.129	24
140	1	140	406	631	0.577	0.288	122
141	1	141	406	633	0.258	0.129	22
142	1	142	406	634	0.129	0.065	73
143	1	143	406	633	0.129	0.065	24
144	1	144	404	630	0.465	0.233	42
145	1	145	404	629	0.129	0.065	116
146	1	146	405	626	0.408	0.204	97
147	1	147	405	626	0.000	0.000	76
148	1	148	404	627	0.182	0.091	89
149	1	149	404	626	0.129	0.065	46
150	1	150	404	625	0.129	0.065	61
151	1	151	404	626	0.129	0.065	40
152	1	152	403	627	0.182	0.091	1
153	1	153	398	620	1.110	0.555	60
154	1	154	397	619	0.182	0.091	27
155	1	155	394	618	0.408	0.204	140
156	1	156	394	616	0.258	0.129	58
157	1	157	393	617	0.182	0.091	3
158	1	158	392	616	0.182	0.091	98
159	1	159	392	616	0.000	0.000	59
160	1	160	392	613	0.387	0.194	59
161	1	161	391	611	0.288	0.144	17
162	1	162	390	609	0.288	0.144	42
163	1	163	389	609	0.129	0.065	73
164	1	164	389	609	0.000	0.000	9
165	1	165	386	606	0.547	0.274	65
166	1	166	386	604	0.258	0.129	94
167	1	167	383	604	0.387	0.194	111
168	1	168	382	604	0.129	0.065	40
169	1	169	382	604	0.000	0.000	84
170	1	170	383	602	0.288	0.144	44
171	1	171	383	602	0.000	0.000	43
172	1	172	382	604	0.288	0.144	72
173	1	173	382	603	0.129	0.065	19
174	1	174	380	600	0.465	0.233	58
175	1	175	380	600	0.000	0.000	40
176	1	176	378	599	0.288	0.144	22
177	1	177	376	599	0.258	0.129	22
178	1	178	375	598	0.182	0.091	89
179	1	179	377	597	0.288	0.144	31
180	1	180	376	595	0.288	0.144	61
181	1	181	376	594	0.129	0.065	119
182	1	182	376	592	0.258	0.129	70
183	1	183	376	592	0.000	0.000	108
184	1	184	376	591	0.129	0.065	34
185	1	185	374	592	0.288	0.144	118
186	1	186	374	592	0.000	0.000	8
187	1	187	372	590	0.365	0.182	92
188	1	188	372	590	0.000	0.000	31
189	1	189	369	590	0.387	0.194	61
190	1	190	367	587	0.465	0.233	49
191	1	191	367	587	0.000	0.000	67
192	1	192	367	587	0.000	0.000	38
193	1	193	365	586	0.288	0.144	67
194	1	194	365	586	0.000	0.000	65
195	1	195	366	587	0.182	0.091	46
196	1	196	366	586	0.129	0.065	39
197	1	197	364	586	0.258	0.129	93
198	1	198	364	585	0.129	0.065	25
