	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	402	905	-10.000	-10.000	7
2	1	2	402	905	0.0000	0.0000	0
3	1	3	393	906	11.681	0.5841	24
4	1	4	393	906	0.0000	0.0000	20
5	1	5	393	906	0.0000	0.0000	14
6	1	6	386	909	0.9824	0.4912	14
7	1	7	389	906	0.5473	0.2737	7
8	1	8	389	906	0.0000	0.0000	1
9	1	9	389	906	0.0000	0.0000	25
10	1	10	389	906	0.0000	0.0000	2
11	1	11	389	906	0.0000	0.0000	0
12	1	12	389	906	0.0000	0.0000	8
13	1	13	389	906	0.0000	0.0000	10
14	1	14	389	906	0.0000	0.0000	4
15	1	15	389	906	0.0000	0.0000	11
16	1	16	389	906	0.0000	0.0000	9
17	1	17	389	906	0.0000	0.0000	11
18	1	18	389	906	0.0000	0.0000	19
19	1	19	388	905	0.1824	0.0912	0
20	1	20	388	905	0.0000	0.0000	9
21	1	21	388	903	0.2580	0.1290	27
22	1	22	388	903	0.0000	0.0000	12
23	1	23	388	903	0.0000	0.0000	10
24	1	24	388	903	0.0000	0.0000	17
25	1	25	388	901	0.2580	0.1290	28
26	1	26	388	898	0.3870	0.1935	12
27	1	27	385	895	0.5473	0.2737	29
28	1	28	386	894	0.1824	0.0912	19
29	1	29	385	893	0.1824	0.0912	0
30	1	30	385	893	0.0000	0.0000	9
31	1	31	385	893	0.0000	0.0000	17
32	1	32	385	893	0.0000	0.0000	16
33	1	33	385	893	0.0000	0.0000	14
34	1	34	385	893	0.0000	0.0000	16
35	1	35	384	889	0.5319	0.2659	2
36	1	36	381	889	0.3870	0.1935	12
37	1	37	377	887	0.5769	0.2885	25
38	1	38	374	885	0.4651	0.2326	25
39	1	39	373	882	0.4079	0.2040	18
40	1	40	372	881	0.1824	0.0912	5
41	1	41	372	879	0.2580	0.1290	13
42	1	42	372	878	0.1290	0.0645	37
43	1	43	370	878	0.2580	0.1290	22
44	1	44	368	877	0.2885	0.1442	3
45	1	45	365	877	0.3870	0.1935	13
46	1	46	366	877	0.1290	0.0645	17
47	1	47	364	877	0.2580	0.1290	18
48	1	48	362	873	0.5769	0.2885	37
49	1	49	362	873	0.0000	0.0000	15
50	1	50	361	871	0.2885	0.1442	19
51	1	51	361	871	0.0000	0.0000	7
52	1	52	361	871	0.0000	0.0000	6
53	1	53	360	870	0.1824	0.0912	0
54	1	54	358	867	0.4651	0.2326	3
55	1	55	357	866	0.1824	0.0912	2
56	1	56	357	866	0.0000	0.0000	5
57	1	57	354	863	0.5473	0.2737	38
